,client_id,start,step_1,step_2,step_3,confirm,Variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
38385,7582539,1,1,1,1,1,Control,13.0,167.0,24.5,F,2.0,60766.89,0.0,3.0
38386,7582587,0,4,2,3,1,Control,8.0,106.0,44.5,M,2.0,28972.63,6.0,9.0
38388,7582801,1,1,1,1,1,Control,8.0,97.0,60.5,U,2.0,316426.85,6.0,9.0
38389,7582906,2,0,0,0,0,Control,14.0,170.0,47.0,F,2.0,109341.18,0.0,3.0
38390,7583106,1,1,1,1,1,Control,14.0,169.0,49.0,F,2.0,326320.69,2.0,5.0
38391,7583640,2,1,1,1,1,Control,23.0,277.0,48.5,U,3.0,202726.32,5.0,8.0
38392,7583768,1,1,1,1,1,Control,6.0,72.0,54.0,U,2.0,224314.73,4.0,7.0
38393,7583850,1,3,4,1,1,Control,21.0,253.0,73.5,M,2.0,57332.75,6.0,9.0
38394,7584263,1,0,0,0,0,Control,23.0,285.0,59.0,M,2.0,32360.11,2.0,5.0
38397,7584428,1,1,0,1,1,Control,13.0,156.0,53.5,F,2.0,272550.49,3.0,6.0
38399,7585111,1,1,1,1,0,Control,5.0,70.0,42.0,U,3.0,36621.41,1.0,4.0
38401,7585238,1,1,1,1,1,Control,17.0,211.0,50.5,M,2.0,365615.78,3.0,6.0
38402,7585765,4,1,1,1,1,Control,18.0,227.0,43.0,M,3.0,132006.95,1.0,4.0
38406,7588305,3,2,0,0,0,Control,10.0,121.0,49.0,M,2.0,398429.06,0.0,3.0
38408,7588380,1,1,3,3,1,Control,5.0,68.0,48.5,U,2.0,72940.23999999999,6.0,9.0
38409,7588400,1,1,2,2,1,Control,5.0,70.0,37.5,U,4.0,773494.67,3.0,6.0
38411,7588562,3,2,2,1,0,Control,29.0,359.0,65.0,F,2.0,195357.72,4.0,7.0
38416,7590004,1,1,1,1,1,Control,22.0,268.0,56.5,M,2.0,66642.26,5.0,8.0
38417,7590008,4,3,1,1,0,Control,6.0,76.0,58.0,F,2.0,72120.59,1.0,4.0
38418,7590220,3,2,1,1,1,Control,4.0,59.0,48.5,U,2.0,45462.11,5.0,8.0
38420,7590544,2,2,1,1,1,Control,12.0,145.0,37.0,F,2.0,90386.96,2.0,5.0
38421,7590603,3,1,1,1,1,Control,15.0,189.0,59.5,M,2.0,1155037.17,1.0,4.0
38422,7590829,1,1,2,2,1,Control,10.0,126.0,67.5,M,3.0,551246.9800000001,6.0,9.0
38423,7590837,1,1,1,1,1,Control,5.0,66.0,24.5,U,2.0,25138.84,0.0,3.0
38424,7591418,1,1,1,1,1,Control,20.0,244.0,48.5,F,3.0,164014.16999999998,2.0,5.0
38429,7592023,1,1,1,1,1,Control,6.0,72.0,24.5,U,3.0,56931.54,4.0,7.0
